"50628889";"82571"
"66634284";"33177"
"67476383";"108781"
"68367780";"126442"
"74001117";"134394"
"154803847";"129605"
"186438318";"138077"
"196048511";"974"
"233013148";"103287"
"245806291";"46346"
"265952735";"36601"
"273084882";"61814"
"283276271";"34884"
"285940800";"78191"
"297078618";"102914"
"311853474";"129075"
"327501910";"98826"
"337988804";"106113"
"359311417";"11014"
"362096914";"141088"
"366344685";"110109"
"377453296";"123748"
"378269815";"139189"
"381142952";"133858"
"389434647";"83217"
"392989071";"82925"
"397984551";"54460"
"404210160";"141088"
"412272563";"140731"
"413060601";"51216"
"418128072";"80311"
"420387786";"79979"
"421728423";"92740"
"422979686";"65114"
"432990398";"62158"
"498496385";"92170"
"541476763";"136681"
"551604873";"140559"
"558475239";"75739"
"578193948";"102568"
"643445344";"90083"
"663743885";"131595"
"672797706";"91834"
"729368776";"51721"
"739290585";"90083"
"746657244";"105889"
"757717111";"133091"
"784555138";"141773"
"846431555";"92740"
"852646073";"115657"
"865771619";"11014"
"875145851";"92193"
"883047305";"98825"
"899219244";"64150"
"899993856";"11014"
"953095815";"134157"
"959073321";"136944"
"959256670";"90083"
"1025579591";"132027"
"1034414945";"98834"
"1041499732";"141088"
"1048311808";"130362"
"1054396497";"80068"
"1057024173";"136195"
"1083869229";"80586"
"1106361504";"13267"
"1130519644";"139034"
"1143771138";"37115"
"1162108130";"105889"
"1178779707";"105889"
"1189698441";"11014"
"1205804083";"90334"
"1216830766";"100874"
"1218008005";"136247"
"1224695855";"58028"
"1239900916";"109621"
"1274347420";"126442"
"1283214256";"134669"
"1291228157";"81220"
"1298476901";"111848"
"1318989452";"90940"
"1329173454";"37112"
"1331274650";"112419"
"1331475878";"44412"
"1361821412";"78889"
"1386050998";"120413"
"1403129264";"49419"
"1427196739";"37743"
"1439145871";"54286"
"1445024415";"79767"
"1449741472";"58028"
"1469575674";"21751"
"1491394836";"90083"
"1494487035";"102194"
"1515505938";"141310"
"1530159492";"123779"
"1555074012";"123477"
"1567983058";"107899"
"1611335946";"37112"
"1645073420";"65114"
"1661959863";"130362"
"1681452424";"98824"
"1695912071";"136959"
"1696238208";"80893"
"1736035372";"80173"
"1755862229";"81216"
"1757504684";"81158"
"1759805660";"140027"
"1778197741";"104990"
"1788803588";"111275"
"1793383047";"130571"
"1820900907";"90083"
"1829636687";"138765"
"1860932501";"131642"
"1868725848";"65114"
"1893351545";"121953"
"1945228159";"140559"
"1949890930";"138434"
"1962603957";"111347"
"1974911409";"11014"
"2026939404";"141750"
"2029674061";"78436"
"2059610988";"99094"
"2075874752";"135874"
"2078782068";"103178"
"2093276715";"55085"
"2094676704";"36639"
"2099566409";"128311"
"2107165934";"80561"
"2110449645";"80669"
"2118901406";"128311"
"2121671211";"35590"
"2127696586";"140559"
"2128938171";"123748"
"2129215246";"100142"
